Description,Avg_Elasticity,Obs,Sensitivity
CALENDAR IN SEASON DESIGN,-27.846231018400395,7,Elastic (price-sensitive)
CHARLOTTE BAG PINK POLKADOT,-27.7993007584567,7,Elastic (price-sensitive)
SCENTED VELVET LOUNGE CANDLE ,-27.792227370221962,9,Elastic (price-sensitive)
GUMBALL MAGAZINE RACK,-27.70896376962596,10,Elastic (price-sensitive)
SLEEPING CAT ERASERS,-27.695477489498657,9,Elastic (price-sensitive)
KIDS RAIN MAC BLUE,-27.603488536205745,9,Elastic (price-sensitive)
ICE CREAM PEN LIP GLOSS ,-27.546307583348067,4,Elastic (price-sensitive)
SET/6 EAU DE NIL BIRD T-LIGHTS,-27.477787405102283,10,Elastic (price-sensitive)
PENS ASSORTED FUNNY FACE,-27.470716645863817,9,Elastic (price-sensitive)
EDWARDIAN PARASOL PINK,-27.464899225844967,18,Elastic (price-sensitive)
RETRO SPOT LARGE MILK JUG,-27.459391294619778,3,Elastic (price-sensitive)
COFFEE MUG DOG + BALL DESIGN,-27.374558264228337,11,Elastic (price-sensitive)
CHRYSANTHEMUM  JOURNAL,-27.352555206057673,7,Elastic (price-sensitive)
SET OF 2 TEA TOWELS APPLE AND PEARS,-27.279184530051197,5,Elastic (price-sensitive)
LARGE YELLOW BABUSHKA NOTEBOOK ,-27.239806800812094,4,Elastic (price-sensitive)
GOLD TEDDY BEAR,-27.230769230769226,3,Elastic (price-sensitive)
PINK GOOSE FEATHER TREE 60CM,-27.15331315690691,5,Elastic (price-sensitive)
MIRROR MOSAIC HURRICANE LAMP ,-27.12315416520959,9,Elastic (price-sensitive)
PINK 3 TIER GLASS PLATE STAND,-27.11729528412828,3,Elastic (price-sensitive)
FLOWER FAIRY INCENSE BOUQUET,-27.109869320622106,10,Elastic (price-sensitive)
FELT EGG COSY LADYBIRD ,-27.094408240012623,7,Elastic (price-sensitive)
PINK MARSHMALLOW SCARF KNITTING KIT,-27.08359724225947,7,Elastic (price-sensitive)
AIRLINE BAG VINTAGE JET SET WHITE,-27.082210917785684,7,Elastic (price-sensitive)
CERAMIC CAKE DESIGN SPOTTED MUG,-27.06249784929191,7,Elastic (price-sensitive)
GLASS STAR FROSTED T-LIGHT HOLDER,-27.014642542330023,15,Elastic (price-sensitive)
HOT WATER BOTTLE I AM SO POORLY,-26.935136417864644,6,Elastic (price-sensitive)
PINK POLKADOT WRAP ,-26.920967615975343,7,Elastic (price-sensitive)
VINYL RECORD FRAME SILVER,-26.887186902913115,17,Elastic (price-sensitive)
GLITTER CHRISTMAS STAR ,-26.884638667637123,4,Elastic (price-sensitive)
SMALL GLASS HEART TRINKET POT,-26.863293701827143,5,Elastic (price-sensitive)
CHARLIE+LOLA RED HOT WATER BOTTLE ,-26.757667885895916,9,Elastic (price-sensitive)
BLUE POLKADOT WRAP,-26.73997091692961,10,Elastic (price-sensitive)
"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",-26.465329193668627,7,Elastic (price-sensitive)
ENGLISH ROSE DESIGN QUILTED THROW,-26.44014719919366,3,Elastic (price-sensitive)
RETROSPOT CANDLE  SMALL,-26.307675730389406,7,Elastic (price-sensitive)
QUEEN OF SKIES LUGGAGE TAG,-26.306342330177,13,Elastic (price-sensitive)
CANDY BUTTON PHOTO ALBUM,-26.237020983573736,4,Elastic (price-sensitive)
RAIN PONCHO WITH RED SPOTS,-26.16571480655393,7,Elastic (price-sensitive)
DECORATIVE ROSE BATHROOM BOTTLE,-26.054117720432785,6,Elastic (price-sensitive)
ANTIQUE SILVER BAUBLE LAMP  ,-25.995088750401077,3,Elastic (price-sensitive)
"WALL MIRROR , DIAMANTE OVAL SHAPE",-25.98426708093399,5,Elastic (price-sensitive)
ZINC HEART LATTICE T-LIGHT HOLDER,-25.9129893157105,5,Elastic (price-sensitive)
 SPACEBOY BABY GIFT SET,-25.902805794428822,8,Elastic (price-sensitive)
"FEATHER PEN,COAL BLACK",-25.858349900687,10,Elastic (price-sensitive)
CHERRY BLOSSOM LUGGAGE TAG,-25.7539415926976,5,Elastic (price-sensitive)
HAND WARMER RED POLKA DOT,-25.73667312153057,3,Elastic (price-sensitive)
CERAMIC BIRDHOUSE FINCH BLUE ROOF,-25.722143196862042,5,Elastic (price-sensitive)
OYSTER TRINKET BOX,-25.711720867208673,3,Elastic (price-sensitive)
RED DAISY PAPER LAMPSHADE,-25.644620171117477,4,Elastic (price-sensitive)
MAGNETS PACK OF 4 CHILDHOOD MEMORY,-25.635554072444833,13,Elastic (price-sensitive)
MIRRORED WALL ART LADIES,-25.611979166666668,4,Elastic (price-sensitive)
LARGE CHINESE STYLE SCISSOR,-25.579436498446405,13,Elastic (price-sensitive)
MULTICOLOUR HONEYCOMB FAN,-25.514773611262466,6,Elastic (price-sensitive)
JUMBO BAG APPLES,-25.51407904721729,5,Elastic (price-sensitive)
SKULLS STORAGE BOX SMALL,-25.513640050136388,3,Elastic (price-sensitive)
PACK OF 72 SKULL CAKE CASES,-25.487590447953995,9,Elastic (price-sensitive)
YULETIDE IMAGES GIFT WRAP SET,-25.474604643688618,4,Elastic (price-sensitive)
FILIGRIS HEART WITH BUTTERFLY,-25.40780416337227,11,Elastic (price-sensitive)
POTTING SHED COFFEE MUG,-25.323367498824172,3,Elastic (price-sensitive)
ENAMEL PINK SUGAR CONTAINER,-25.30884442866968,5,Elastic (price-sensitive)
PURPLE FOXGLOVE ARTIIFCIAL FLOWER,-25.30490578297596,3,Elastic (price-sensitive)
MRS ROBOT SOFT TOY,-25.289990530303005,6,Elastic (price-sensitive)
NUMBER TILE VINTAGE FONT No ,-25.266366718831506,3,Elastic (price-sensitive)
DOOR MAT BIRD ON THE WIRE,-25.243934566431314,4,Elastic (price-sensitive)
MAGNETS PACK OF 4 RETRO PHOTO,-25.241032530628896,14,Elastic (price-sensitive)
RUSTIC MIRROR WITH LACE HEART,-25.235367882791298,3,Elastic (price-sensitive)
AGED GLASS SILVER T-LIGHT HOLDER,-25.22498125242586,15,Elastic (price-sensitive)
ALUMINIUM STAMPED HEART,-25.21086244062123,5,Elastic (price-sensitive)
ASSORTED EASTER DECORATIONS  BELLS,-25.203520679526886,3,Elastic (price-sensitive)
PICTURE FRAME WOOD TRIPLE PORTRAIT,-25.108087599566485,13,Elastic (price-sensitive)
RETRO SPOT CANDLE  MEDIUM,-25.10527295285361,4,Elastic (price-sensitive)
FRENCH KITCHEN SIGN BLUE METAL,-25.022726203327483,7,Elastic (price-sensitive)
RED   ACRYLIC FACETED BANGLE,-25.021849338025806,3,Elastic (price-sensitive)
WHITE CHRYSANTHEMUMS ART FLOWER,-25.00917283681766,4,Elastic (price-sensitive)
COSY SLIPPER SHOES SMALL GREEN,-24.93287010254059,6,Elastic (price-sensitive)
PAPERWEIGHT CHILDHOOD MEMORIES,-24.91780584758737,11,Elastic (price-sensitive)
CHARLIE LOLA BLUE HOT WATER BOTTLE ,-24.88974516159517,8,Elastic (price-sensitive)
DAIRY MAID LARGE MILK JUG,-24.862363562892654,6,Elastic (price-sensitive)
MIRRORED WALL ART STARS,-24.788463061992474,3,Elastic (price-sensitive)
RETROSPOT LARGE MILK JUG,-24.645086297054615,7,Elastic (price-sensitive)
RED BIRD HOUSE TREE DECORATION,-24.593998334726653,3,Elastic (price-sensitive)
ACRYLIC GEOMETRIC LAMP,-24.43062500000001,4,Elastic (price-sensitive)
PINK  POLKADOT CUP,-24.361413822372874,8,Elastic (price-sensitive)
VANILLA SCENT CAKE CANDLE ,-24.335488505747126,3,Elastic (price-sensitive)
SET/12 TAPER CANDLES,-24.31676076692184,7,Elastic (price-sensitive)
FUNKY DIVA PEN,-24.254762936031895,6,Elastic (price-sensitive)
GLASS  BEURRE DISH,-24.195320600296004,8,Elastic (price-sensitive)
SET OF 2 TINS JARDIN DE PROVENCE,-24.17037936594579,3,Elastic (price-sensitive)
RED SPOT CERAMIC DRAWER KNOB,-24.15402849147996,15,Elastic (price-sensitive)
SWISS CHALET TREE DECORATION ,-24.119070391621143,4,Elastic (price-sensitive)
COCKTAIL SWORDS 50 PIECES,-24.05298497798492,3,Elastic (price-sensitive)
IVORY PILLAR CANDLE GOLD FLOCK,-23.979597917152805,7,Elastic (price-sensitive)
BLACK RECORD COVER FRAME,-23.956487646458633,14,Elastic (price-sensitive)
SET OF 16 VINTAGE ROSE CUTLERY,-23.951276963776966,6,Elastic (price-sensitive)
RED HANGING HEART T-LIGHT HOLDER,-23.906849956145383,7,Elastic (price-sensitive)
PAPERWEIGHT SAVE THE PLANET,-23.896350948193973,9,Elastic (price-sensitive)
BLACK SMALL GLASS CAKE STAND,-23.782064021087102,10,Elastic (price-sensitive)
PINK PAISLEY SQUARE TISSUE BOX ,-23.779321626774443,7,Elastic (price-sensitive)
MOROCCAN TEA GLASS,-23.778325050175443,16,Elastic (price-sensitive)
KINGS CHOICE GIANT TUBE MATCHES,-23.714021530531785,11,Elastic (price-sensitive)
PAPER POCKET TRAVELING FAN ,-23.695587747496614,8,Elastic (price-sensitive)
S/4 CACTI CANDLES,-23.69448396109999,16,Elastic (price-sensitive)
PACK 20 ENGLISH ROSE PAPER NAPKINS,-23.653122184456265,5,Elastic (price-sensitive)
STRAWBERRY CHARLOTTE BAG,-23.57253461462965,7,Elastic (price-sensitive)
FROSTED BOX 9 WHITE T-LIGHT CANDLES,-23.54140536138243,6,Elastic (price-sensitive)
SMALL YELLOW BABUSHKA NOTEBOOK ,-23.538523136247683,5,Elastic (price-sensitive)
ENCHANTED BIRD COATHANGER 5 HOOK,-23.471372472414078,17,Elastic (price-sensitive)
ANTIQUE SILVER TEA GLASS ETCHED,-23.459476668490503,10,Elastic (price-sensitive)
HOME GARLAND PAINTED ZINC ,-23.42575773125361,7,Elastic (price-sensitive)
WRAP POPPIES  DESIGN,-23.353050595238003,4,Elastic (price-sensitive)
GREEN POLKADOT BOWL,-23.328390427774877,7,Elastic (price-sensitive)
CHEST 7 DRAWER MA CAMPAGNE,-23.2773148148148,6,Elastic (price-sensitive)
OVEN MITT APPLES DESIGN,-23.268771521272406,8,Elastic (price-sensitive)
BEADED CRYSTAL HEART BLUE ON STICK,-23.24215161731485,8,Elastic (price-sensitive)
VINTAGE CARAVAN GIFT WRAP,-23.208779159437068,6,Elastic (price-sensitive)
PINK POLKADOT KIDS BAG,-23.145850678298856,3,Elastic (price-sensitive)
LIBRARY LAMP,-23.122685185185173,3,Elastic (price-sensitive)
KIDS RAIN MAC PINK,-23.11543644850872,7,Elastic (price-sensitive)
RETRO SPOT GIANT  TUBE MATCHES,-22.99667796327723,8,Elastic (price-sensitive)
MOTHER'S KITCHEN SPOON REST ,-22.978562169042224,3,Elastic (price-sensitive)
NATURAL SLATE RECTANGLE CHALKBOARD,-22.97843623616792,6,Elastic (price-sensitive)
RED SPOTTY EGG CUP ,-22.950164521729857,3,Elastic (price-sensitive)
PINK CANDYSTUFT ARTIFICIAL FLOWER,-22.89234673627649,3,Elastic (price-sensitive)
SMALL BONNE JAM JAR  T-LIGHT HOLDER,-22.86492676932392,6,Elastic (price-sensitive)
ABC TREASURE BOOK BOX ,-22.84287502595154,3,Elastic (price-sensitive)
IVORY HANGING DECORATION  HEART,-22.832645491297814,6,Elastic (price-sensitive)
VINTAGE SNAKES & LADDERS,-22.81881596644333,8,Elastic (price-sensitive)
FELT FARM ANIMAL WHITE BUNNY ,-22.80032960895228,3,Elastic (price-sensitive)
CLASSIC METAL BIRDCAGE PLANT HOLDER,-22.78051382726857,14,Elastic (price-sensitive)
DOOR MAT WELCOME PUPPIES,-22.77243136787335,6,Elastic (price-sensitive)
EDWARDIAN PARASOL RED,-22.754688937531615,14,Elastic (price-sensitive)
SAVOY ART DECO CLOCK,-22.753889293881418,12,Elastic (price-sensitive)
CERAMIC CAKE DESIGN SPOTTED PLATE,-22.752256062993844,7,Elastic (price-sensitive)
WHITE JEWELLED HEART DECORATION,-22.74504622547849,10,Elastic (price-sensitive)
RETROSPOT CANDLE  LARGE,-22.72682515313818,5,Elastic (price-sensitive)
ORIGAMI LAVENDER INCENSE/CANDL SET ,-22.71442698080709,4,Elastic (price-sensitive)
BALLOON ART MAKE YOUR OWN FLOWERS,-22.68681426272339,3,Elastic (price-sensitive)
SKULLS  STICKERS,-22.665084129977853,3,Elastic (price-sensitive)
BLUE PAISLEY TISSUE BOX,-22.66286812891962,4,Elastic (price-sensitive)
FROG SOCK PUPPET,-22.627430555555502,3,Elastic (price-sensitive)
EMERGENCY FIRST AID TIN ,-22.594906037074274,10,Elastic (price-sensitive)
PINK MONTE CARLO HANDBAG,-22.590807888040715,3,Elastic (price-sensitive)
CHILDS BREAKFAST SET CIRCUS PARADE,-22.529472483699276,7,Elastic (price-sensitive)
SET/20 WOODLAND PAPER NAPKINS ,-22.446695586145346,4,Elastic (price-sensitive)
WRAP COWBOYS  ,-22.338528654534088,5,Elastic (price-sensitive)
PINK ROSE FABRIC MIRROR,-22.30352595508523,3,Elastic (price-sensitive)
BAKING SET 9 PIECE RETROSPOT ,-22.200503040289142,5,Elastic (price-sensitive)
DINOSAUR KEYRINGS ASSORTED,-22.15794061490384,5,Elastic (price-sensitive)
RED METAL BOX TOP SECRET,-22.132369849655657,3,Elastic (price-sensitive)
ALARM CLOCK BAKELIKE CHOCOLATE,-22.130731052543215,4,Elastic (price-sensitive)
RIBBON REEL CHRISTMAS SOCK BAUBLE,-22.129598902254973,5,Elastic (price-sensitive)
3 TIER SWEETHEART GARDEN SHELF,-22.11337662337668,6,Elastic (price-sensitive)
RED RETROSPOT BUTTER DISH,-22.083385808271174,6,Elastic (price-sensitive)
MOODY BOY  DOOR HANGER ,-22.02482970393689,6,Elastic (price-sensitive)
WHITE HONEYCOMB PAPER GARLAND ,-22.02179528266447,5,Elastic (price-sensitive)
OCEAN STRIPE HAMMOCK ,-22.008626749290727,4,Elastic (price-sensitive)
SET/5 RED RETROSPOT LID GLASS BOWLS,-22.006003742246023,4,Elastic (price-sensitive)
VICTORIAN SEWING KIT,-21.994103826285546,13,Elastic (price-sensitive)
TRADITIONAL WOODEN SKIPPING ROPE,-21.99052446950726,8,Elastic (price-sensitive)
BLACK STITCHED WALL CLOCK,-21.97651277789886,6,Elastic (price-sensitive)
CHILDRENS CUTLERY POLKADOT GREEN ,-21.93039219735446,6,Elastic (price-sensitive)
PACK OF 12 BLUE PAISLEY TISSUES ,-21.858403585731203,10,Elastic (price-sensitive)
LIGHT PINK FLOCK GLASS CANDLEHOLDER,-21.7972032142799,5,Elastic (price-sensitive)
FOLK FELT HANGING MULTICOL GARLAND,-21.764870580634206,4,Elastic (price-sensitive)
CHILDRENS CUTLERY POLKADOT PINK,-21.746294054976055,4,Elastic (price-sensitive)
RED RETROSPOT TEA CUP AND SAUCER ,-21.67844868769767,4,Elastic (price-sensitive)
LAVENDER INCENSE 40 CONES IN TIN,-21.667455454403996,6,Elastic (price-sensitive)
BEADED CRYSTAL HEART BLUE SMALL,-21.65882905611135,5,Elastic (price-sensitive)
LIGHT PINK CHERRY LIGHTS,-21.622216544761102,5,Elastic (price-sensitive)
BLUE BIRDHOUSE DECORATION,-21.616791120671383,11,Elastic (price-sensitive)
PLACE SETTING WHITE HEART,-21.44662964042521,7,Elastic (price-sensitive)
DOORMAT VINTAGE LEAF,-21.41867549434021,4,Elastic (price-sensitive)
BOMBS AWAY METAL SIGN,-21.411363096807513,7,Elastic (price-sensitive)
WHITE HANGING HEART T-LIGHT HOLDER,-21.390549242357597,7,Elastic (price-sensitive)
GLITTER SNOW PEAR TREE DECORATION,-21.378045310167845,6,Elastic (price-sensitive)
JINGLE BELLS TREE DECORATION,-21.328450345072437,7,Elastic (price-sensitive)
SET OF 2 TEA TOWELS PING MICROWAVE,-21.30713838248064,6,Elastic (price-sensitive)
JOY LARGE WOOD LETTERS,-21.292528955522137,8,Elastic (price-sensitive)
CERAMIC HEART FAIRY CAKE MONEY BANK,-21.282447819207622,6,Elastic (price-sensitive)
WRAP PINK FAIRY CAKES ,-21.244925121870125,9,Elastic (price-sensitive)
RED FLOWER CROCHET FOOD COVER,-21.224871423746,8,Elastic (price-sensitive)
LARGE TRIFLE DESIGN L BLUE BOWL,-21.209312169312167,3,Elastic (price-sensitive)
PSYCHEDELIC WALL THERMOMETER,-21.179615121970187,5,Elastic (price-sensitive)
PLASTERS IN TIN VINTAGE PAISLEY ,-21.150329924735598,6,Elastic (price-sensitive)
PAPERWEIGHT VINTAGE COLLAGE,-21.130831449870985,11,Elastic (price-sensitive)
BATHROOM SCALES FOOTPRINTS IN SAND,-21.121000445632756,5,Elastic (price-sensitive)
MIDNIGHT GLAMOUR SCARF KNITTING KIT,-21.102186838189578,10,Elastic (price-sensitive)
CARD PARTY GAMES ,-21.06421915300769,6,Elastic (price-sensitive)
S/4 PINK DINNER CANDLE SILVER FLOCK,-21.054777094480357,4,Elastic (price-sensitive)
RED RETROSPOT CHARLOTTE BAG,-21.038477819802427,5,Elastic (price-sensitive)
LUNCH BAG RED RETROSPOT,-21.030875835964302,4,Elastic (price-sensitive)
CERAMIC CAKE STAND + HANGING CAKES,-20.938965576712125,18,Elastic (price-sensitive)
ROUND CAKE TIN VINTAGE RED,-20.935660970062685,7,Elastic (price-sensitive)
MILK BOTTLE WITH GLASS STOPPER ,-20.917295482295543,6,Elastic (price-sensitive)
VANILLA INCENSE IN TIN,-20.908500564734062,16,Elastic (price-sensitive)
GREEN CHERRY LIGHTS,-20.81487943578993,3,Elastic (price-sensitive)
BLUE  SPOTTY EGG CUP ,-20.813311450902688,3,Elastic (price-sensitive)
COLUMBIAN  CUBE CANDLE ,-20.809345436393535,6,Elastic (price-sensitive)
PARTY INVITES WOODLAND,-20.776970362545214,9,Elastic (price-sensitive)
PARTY PIZZA DISH GREEN POLKADOT,-20.776280954881333,8,Elastic (price-sensitive)
FLORAL PINK MONSTER,-20.737847222222232,4,Elastic (price-sensitive)
COLOURFUL FISHING GNOME,-20.68987353306113,3,Elastic (price-sensitive)
"KEY FOB , FRONT  DOOR ",-20.615617751486635,8,Elastic (price-sensitive)
JARDIN DE FEMME SCENTED CANDLE,-20.60602243000953,3,Elastic (price-sensitive)
TROPICAL PASSPORT COVER ,-20.57593864691724,10,Elastic (price-sensitive)
MAKE YOUR OWN FLOWERPOWER CARD KIT,-20.457629469432465,6,Elastic (price-sensitive)
HAND TOWEL PINK FLOWER AND DAISY,-20.34382549065065,4,Elastic (price-sensitive)
BOTANICAL ROSE GIFT WRAP,-20.271666666666597,5,Elastic (price-sensitive)
PACK OF 12 WOODLAND TISSUES ,-20.264850543428555,8,Elastic (price-sensitive)
RED RETROSPOT TRADITIONAL TEAPOT ,-20.225322291758854,3,Elastic (price-sensitive)
"METAL SIGN,CUPCAKE SINGLE HOOK",-20.15641624774383,5,Elastic (price-sensitive)
FELTCRAFT PRINCESS OLIVIA DOLL,-20.145157722945342,4,Elastic (price-sensitive)
BUDDHA INCENSE HOLDER ASSORTED,-20.093794356535383,9,Elastic (price-sensitive)
JUMBO BAG VINTAGE LEAF,-20.089942897545146,3,Elastic (price-sensitive)
SMALL POPCORN HOLDER,-20.011279589418166,6,Elastic (price-sensitive)
TURQOISE ICE CREAM SUNHAT,-19.96906231393524,4,Elastic (price-sensitive)
RED RETROSPOT OVEN GLOVE ,-19.966454408428884,8,Elastic (price-sensitive)
PEG BAG APPLES DESIGN,-19.92306194340016,11,Elastic (price-sensitive)
CHOCOLATE CALCULATOR,-19.91924472827907,8,Elastic (price-sensitive)
CERAMIC PIRATE CHEST MONEY BANK,-19.917292533369324,6,Elastic (price-sensitive)
CIRCLE OF FRIENDS CANDLE HOLDER,-19.823899071145096,6,Elastic (price-sensitive)
GREEN REGENCY TEACUP AND SAUCER,-19.821750976861733,6,Elastic (price-sensitive)
CABIN BAG VINTAGE RETROSPOT,-19.81887861797132,12,Elastic (price-sensitive)
SET OF 3 GOLD FLYING DUCKS,-19.817056777523398,14,Elastic (price-sensitive)
"FEATHER PEN,LIGHT PINK",-19.6084461553829,10,Elastic (price-sensitive)
"FOLDING UMBRELLA , RED/WHITE SPOT",-19.604017372221413,4,Elastic (price-sensitive)
LARGE CAKE TOWEL PINK SPOTS,-19.57163495616157,11,Elastic (price-sensitive)
PINK PILLAR CANDLE SILVER FLOCK,-19.54781644108866,6,Elastic (price-sensitive)
FRYING PAN BLUE POLKADOT,-19.535934744268047,3,Elastic (price-sensitive)
FRYING PAN PINK POLKADOT ,-19.520806306306483,3,Elastic (price-sensitive)
VINTAGE SEASIDE JIGSAW PUZZLES,-19.461502715495325,8,Elastic (price-sensitive)
BLUE PAINTED KASHMIRI CHAIR,-19.413374383508195,3,Elastic (price-sensitive)
VINTAGE DONKEY TAIL GAME ,-19.408335139878755,5,Elastic (price-sensitive)
TOAST ITS - FAIRY FLOWER,-19.4029906751618,8,Elastic (price-sensitive)
ZINC HEARTS PLANT POT HOLDER,-19.36637238893148,4,Elastic (price-sensitive)
MA CAMPAGNE CUTLERY BOX,-19.330095230603686,9,Elastic (price-sensitive)
SPOTS DESIGN MUG W PINK INSIDE,-19.32975399400845,6,Elastic (price-sensitive)
BLUE SPOTTY LUGGAGE TAG ,-19.293915371153087,3,Elastic (price-sensitive)
WRAP GREEN RUSSIAN FOLKART ,-19.279198635976137,3,Elastic (price-sensitive)
BEACH HUT DESIGN BLACKBOARD,-19.27399383679236,3,Elastic (price-sensitive)
CERAMIC CAKE BOWL + HANGING CAKES,-19.20567738065966,17,Elastic (price-sensitive)
LARGE PINK GLASS SUNDAE DISH,-19.16656561570492,4,Elastic (price-sensitive)
SET OF 4 ROSE BOTANICAL CANDLES,-19.112458844725655,6,Elastic (price-sensitive)
SILVER ROCOCO CANDLE STICK,-19.047596153846154,6,Elastic (price-sensitive)
JASMINE VOTIVE CANDLE,-18.98709220332933,11,Elastic (price-sensitive)
WHITE HAND TOWEL WITH BUTTERFLY,-18.975291478615947,3,Elastic (price-sensitive)
"TUMBLER, BAROQUE",-18.952910052910052,3,Elastic (price-sensitive)
RED FLORAL FELTCRAFT SHOULDER BAG,-18.917242948481835,7,Elastic (price-sensitive)
3D VINTAGE CHRISTMAS STICKERS ,-18.884668522947564,4,Elastic (price-sensitive)
GREEN BIRDHOUSE DECORATION,-18.878415761302254,8,Elastic (price-sensitive)
BLUE WHITE SPOTS GARDEN PARASOL,-18.803823445524557,4,Elastic (price-sensitive)
EASTER DECORATION HANGING BUNNY,-18.779158717734123,3,Elastic (price-sensitive)
SET OF 12  VINTAGE POSTCARD SET,-18.77869668745105,13,Elastic (price-sensitive)
WOOD BLACK BOARD ANT WHITE FINISH,-18.758433367085463,12,Elastic (price-sensitive)
JUMBO  BAG BAROQUE BLACK WHITE,-18.749497683077205,6,Elastic (price-sensitive)
IVORY WIRE SWEETHEART LETTER TRAY,-18.72173913043481,3,Elastic (price-sensitive)
LARGE CAMPHOR WOOD FIELD MUSHROOM ,-18.645238095238096,3,Elastic (price-sensitive)
FRYING PAN UNION FLAG,-18.553423281702784,14,Elastic (price-sensitive)
MIRRORED WALL ART POPPIES,-18.544474206349207,4,Elastic (price-sensitive)
DOOR MAT GREEN PAISLEY ,-18.527946156720585,3,Elastic (price-sensitive)
JAM JAR WITH PINK LID,-18.49846688272233,8,Elastic (price-sensitive)
RETRO SPOT TEA SET CERAMIC 11 PC ,-18.44448443912786,3,Elastic (price-sensitive)
ZINC TOP  2 DOOR WOODEN SHELF ,-18.44049999999997,6,Elastic (price-sensitive)
CHEST NATURAL WOOD 20 DRAWERS,-18.42182539682539,8,Elastic (price-sensitive)
CIRCUS PARADE BABY GIFT SET,-18.41417429101546,8,Elastic (price-sensitive)
JARDIN ETCHED GLASS LARGE BELL JAR,-18.385621843434336,4,Elastic (price-sensitive)
BLACK CHRISTMAS TREE 120CM,-18.376603919164584,5,Elastic (price-sensitive)
TEA BAG PLATE RED RETROSPOT,-18.37387169272269,5,Elastic (price-sensitive)
SMALL TAHITI BEACH BAG,-18.3370388540031,3,Elastic (price-sensitive)
BROCANTE COAT RACK,-18.29199734848011,6,Elastic (price-sensitive)
QUEENS GUARD COFFEE MUG,-18.291722752933854,7,Elastic (price-sensitive)
FIRST CLASS HOLIDAY PURSE ,-18.29128857067314,5,Elastic (price-sensitive)
BAG 125g SWIRLY MARBLES,-18.29029334680688,16,Elastic (price-sensitive)
FRENCH STYLE EMBOSSED HEART CABINET,-18.20809603573422,3,Elastic (price-sensitive)
STORAGE TIN VINTAGE LEAF,-18.140343794227515,4,Elastic (price-sensitive)
LOVE LARGE WOOD LETTERS ,-18.139422043010846,3,Elastic (price-sensitive)
SET OF 9 HEART SHAPED BALLOONS,-18.13791854398919,7,Elastic (price-sensitive)
CHRISTMAS CARD SINGING ANGEL,-18.091400419199427,3,Elastic (price-sensitive)
PAPER CHAIN KIT RETRO SPOT,-18.090878722232116,7,Elastic (price-sensitive)
CLEAR MILKSHAKE GLASS,-18.06717157769355,5,Elastic (price-sensitive)
DOLLY GIRL BABY GIFT SET,-18.0569253324676,8,Elastic (price-sensitive)
RED POLKADOT BEAKER ,-17.99065821885477,5,Elastic (price-sensitive)
PINK POT PLANT CANDLE,-17.972541360294084,4,Elastic (price-sensitive)
WHITE BITTY LIGHT CHAIN ,-17.949838089541977,4,Elastic (price-sensitive)
FLAMINGO LIGHTS,-17.947034528728096,3,Elastic (price-sensitive)
LANTERN CREAM GAZEBO ,-17.924460268897054,7,Elastic (price-sensitive)
PINK FLOWERS RABBIT EASTER,-17.924,5,Elastic (price-sensitive)
BEADED CRYSTAL HEART GREEN ON STICK,-17.91604617704534,5,Elastic (price-sensitive)
MEDIUM CERAMIC TOP STORAGE JAR,-17.910369715175417,7,Elastic (price-sensitive)
HANGING HEART WITH BELL,-17.835693959904432,7,Elastic (price-sensitive)
BLACK SILOUETTE CANDLE PLATE,-17.691043956043956,5,Elastic (price-sensitive)
DELUXE SEWING KIT ,-17.670752944084224,6,Elastic (price-sensitive)
LAVENDER SCENTED FABRIC HEART,-17.643844310058075,4,Elastic (price-sensitive)
TRAVEL CARD WALLET KEEP CALM,-17.614816962718017,4,Elastic (price-sensitive)
FAMILY PHOTO FRAME CORNICE,-17.593540377792024,8,Elastic (price-sensitive)
CLOCK MAGNET MUM'S KITCHEN,-17.571745622515998,4,Elastic (price-sensitive)
PINK POLKADOT BOWL,-17.554853382912203,8,Elastic (price-sensitive)
 FLAMINGO LIGHTS,-17.499594356261078,3,Elastic (price-sensitive)
"BLACK TEA,COFFEE,SUGAR JARS",-17.496291224823267,4,Elastic (price-sensitive)
PHOTO FRAME CORNICE,-17.478835287621784,3,Elastic (price-sensitive)
FELTCRAFT HAIRBAND PINK AND PURPLE,-17.43487016754171,3,Elastic (price-sensitive)
SILVER ROCCOCO CHANDELIER,-17.36756959126145,4,Elastic (price-sensitive)
75 BLACK FAIRY CAKE CASES,-17.33713056013901,7,Elastic (price-sensitive)
BLACK SQUARE TABLE CLOCK,-17.301782387463735,6,Elastic (price-sensitive)
VINTAGE CREAM DOG FOOD CONTAINER,-17.28655463953777,5,Elastic (price-sensitive)
4 IVORY DINNER CANDLES SILVER FLOCK,-17.272106257852087,20,Elastic (price-sensitive)
HAND OVER THE CHOCOLATE   SIGN ,-17.259694079051215,16,Elastic (price-sensitive)
AIRLINE BAG VINTAGE TOKYO 78,-17.150279321035185,10,Elastic (price-sensitive)
SET OF 4 NAPKIN CHARMS 3 KEYS ,-17.141940683430022,3,Elastic (price-sensitive)
S/4 BLUE DINNER CANDLE SILVER FLOCK,-17.13083681526125,3,Elastic (price-sensitive)
FLORAL FOLK STATIONERY SET,-17.03863445170622,10,Elastic (price-sensitive)
RED RETROSPOT UMBRELLA,-16.987328202939175,6,Elastic (price-sensitive)
LETS GO SHOPPING COTTON TOTE BAG,-16.95343433630019,7,Elastic (price-sensitive)
